lon,lat,z,age,age_serr,Lm,Lm_serr,L_sd,Dpar,source,sample
169.000246512561,-71.6270131313434,2162,64.1,5.9,13.46,0.21,1.45,1.36,A to Z Inc,P74845
169.037144427303,-71.5966146433282,1602,39.0,2.6,13.43,0.28,2.15,1.45,A to Z Inc,P74847
168.804937204087,-71.7744158490873,3322,76.6,3.7,13.33,0.14,1.74,1.41,A to Z Inc,P74848
168.982701593991,-71.7648357806463,1988,49.3,2.3,14.22,0.14,1.71,1.35,A to Z Inc,P74852
169.648210242952,-71.7181161511232,2003,44.6,2.3,13.79,0.16,1.91,1.34,A to Z Inc,P74856
169.434618610177,-71.7796535213746,2208,59.4,14.3,13.25,1.18,2.04,1.43,A to Z Inc,P74857
169.20460825728,-71.8634497511923,2684,48.6,4.4,13.53,0.39,1.78,1.28,A to Z Inc,P74858
169.171908220568,-71.8329814975638,2171,45.1,2.9,13.93,0.26,1.99,1.3,A to Z Inc,P74860
169.812078365987,-71.8120305820694,1975,31.5,1.8,14.2,0.14,1.51,1.32,A to Z Inc,P74862
169.719591345282,-71.8184305288519,1656,33.7,1.8,14.16,0.2,1.6,1.36,A to Z Inc,P74863
170.101364664766,-71.6525082583066,264,34.5,1.8,14.38,0.14,1.68,1.32,A to Z Inc,P74804
170.088764915084,-71.6485085122328,20,34.3,2.0,14.46,0.13,1.58,1.28,A to Z Inc,P74814
169.537600087771,-71.9186057109085,3533,56.3,3.3,13.79,0.19,2.21,1.36,A to Z Inc,P74853
169.630435942312,-71.8774476331916,2588,33.2,1.8,14.2,0.13,1.42,1.29,A to Z Inc,P74854
169.628285528196,-71.8628084284262,2161,38.0,2.3,13.76,0.17,1.76,1.25,A to Z Inc,P74855
169.863807262312,-71.8259496705169,2312,57.0,3.5,14.06,0.26,1.91,2.83,A to Z Inc,P74861
169.213662003289,-71.3713361506486,15,29.5,2.4,14.51,0.34,1.75,1.24,A to Z Inc,P74868
169.10668602471,-71.3995749847337,1250,45.2,2.4,13.87,0.18,2.21,1.3,A to Z Inc,P74869
