lon,lat,z,age,age_serr,include,source,sample
169.90671,-72.30844,1098,35.8,2.1,1,Balestrieri et al. (2020),V06-24-11A
169.90671,-72.30844,1098,29.8,1.8,1,Balestrieri et al. (2020),V06-24-11B
169.90671,-72.30844,1098,46.9,2.8,1,Balestrieri et al. (2020),V06-24-11C
169.90671,-72.30844,1098,31.1,1.9,1,Balestrieri et al. (2020),V06-24-11D
169.90671,-72.30844,1098,35.6,2.1,1,Balestrieri et al. (2020),V06-24-11E
169.92954,-72.32272,40,58.4,3.5,1,Balestrieri et al. (2020),V07-24-11A
169.92954,-72.32272,40,72.1,4.3,0,Balestrieri et al. (2020),V07-24-11B
169.92954,-72.32272,40,49.4,3.0,1,Balestrieri et al. (2020),V07-24-11C
169.92954,-72.32272,40,80.9,4.9,1,Balestrieri et al. (2020),V07-24-11D
169.92954,-72.32272,40,338.2,20.3,0,Balestrieri et al. (2020),V07-24-11E
166.87541,-71.42502,1841,122.7,7.4,0,Balestrieri et al. (2020),V03-26-11B
166.87541,-71.42502,1841,76.1,4.6,1,Balestrieri et al. (2020),V03-26-11C
166.87541,-71.42502,1841,221.9,13.3,0,Balestrieri et al. (2020),V03-26-11D
166.87541,-71.42502,1841,84.2,5.1,1,Balestrieri et al. (2020),V03-26-11E
166.87541,-71.42502,1841,923.4,54.4,0,Balestrieri et al. (2020),V03-26-11F
166.68235,-72.27242,1749,45.0,2.7,1,Balestrieri et al. (2020),V01-27-11A
166.68235,-72.27242,1749,37.7,2.3,1,Balestrieri et al. (2020),V01-27-11B
166.68235,-72.27242,1749,49.4,3.0,1,Balestrieri et al. (2020),V01-27-11C
166.68235,-72.27242,1749,67.1,4.0,0,Balestrieri et al. (2020),V01-27-11D
166.68235,-72.27242,1749,40.9,2.5,1,Balestrieri et al. (2020),V01-27-11E
168.50111,-73.16809,2176,46.0,2.8,1,Balestrieri et al. (2020),V02-27-11A
168.50111,-73.16809,2176,57.0,3.4,1,Balestrieri et al. (2020),V02-27-11B
168.50111,-73.16809,2176,42.9,2.6,1,Balestrieri et al. (2020),V02-27-11E
169.28492,-72.63772,944,132.4,7.9,1,Balestrieri et al. (2020),V06-27-11A
169.28492,-72.63772,944,178.0,10.7,0,Balestrieri et al. (2020),V06-27-11D
169.28492,-72.63772,944,44.0,2.6,1,Balestrieri et al. (2020),V06-27-11E
169.14722,-72.64536,2217,62.8,3.8,1,Balestrieri et al. (2020),V08-27-11A
169.14722,-72.64536,2217,50.2,3.0,1,Balestrieri et al. (2020),V08-27-11B
169.28701,-72.42714,1897,40.1,2.4,1,Balestrieri et al. (2020),V10-27-11A
169.28701,-72.42714,1897,42.8,2.6,1,Balestrieri et al. (2020),V10-27-11B
169.28701,-72.42714,1897,61.7,3.7,1,Balestrieri et al. (2020),V10-27-11C
168.25996,-72.36624,151,96.9,5.8,0,Balestrieri et al. (2020),V04-30-11A
168.25996,-72.36624,151,36.4,2.2,1,Balestrieri et al. (2020),V04-30-11B
168.25996,-72.36624,151,98.3,5.9,0,Balestrieri et al. (2020),V04-30-11C
168.25996,-72.36624,151,76.1,4.6,0,Balestrieri et al. (2020),V04-30-11D
167.24992,-71.87203,1565,41.5,2.5,1,Balestrieri et al. (2020),V02-02-12A
167.24992,-71.87203,1565,40.8,2.4,1,Balestrieri et al. (2020),V02-02-12B
167.24992,-71.87203,1565,36.7,2.2,1,Balestrieri et al. (2020),V02-02-12C
167.24992,-71.87203,1565,35.6,2.1,1,Balestrieri et al. (2020),V02-02-12D
167.24992,-71.87203,1565,48.1,2.9,1,Balestrieri et al. (2020),V02-02-12E
167.24992,-71.87203,1565,33.6,2.0,1,Balestrieri et al. (2020),V02-02-12F
169.98917,-71.76505,1831,45.3,2.7,1,Balestrieri et al. (2020),V06-02-12A
169.98917,-71.76505,1831,66.6,4.0,1,Balestrieri et al. (2020),V06-02-12B
169.98917,-71.76505,1831,63.3,3.8,1,Balestrieri et al. (2020),V06-02-12C
169.98917,-71.76505,1831,40.4,2.4,1,Balestrieri et al. (2020),V06-02-12D
169.98917,-71.76505,1831,137.6,8.3,0,Balestrieri et al. (2020),V06-02-12E
167.24992,-72.1857,80,36.4,3.5,1,Balestrieri et al. (2020),V07-02-12A
167.24992,-72.1857,80,30.1,4.3,1,Balestrieri et al. (2020),V07-02-12B
167.24992,-72.1857,80,28.7,3.0,1,Balestrieri et al. (2020),V07-02-12C
167.24992,-72.1857,80,25.3,4.9,1,Balestrieri et al. (2020),V07-02-12D
167.24992,-72.1857,80,23.3,2.3,1,Balestrieri et al. (2020),V07-02-12E
167.24992,-72.1857,80,23.3,2.3,1,Balestrieri et al. (2020),EOF
