lon,lat,z,age,age_serr,age_ssd,n,source,sample,chiSq,p_chiSq,ages,ages_errs,includes
169.92954,-72.32272,40,35.8,3.0,6.7,5,Balestrieri et al. (2020),V06-24-11,33.1,0.9999964037786364,35.8 29.8 46.9 31.1 35.6,2.1 1.8 2.8 1.9 2.1,True True True True True
166.87541,-71.42502,1841,62.9,9.4,16.2,3,Balestrieri et al. (2020),V07-24-11,35.4,0.9999998995946581,58.4 72.1 49.4 80.9 338.2,3.5 4.3 3.0 4.9 20.3,True False True True False
166.68235,-72.27242,1749,94.3,14.4,24.9,3,Balestrieri et al. (2020),V03-26-11,34.4,0.9999998331874655,122.7 76.1 221.9 84.2 923.4,7.4 4.6 13.3 5.1 54.4,True True False True False
168.50111,-73.16809,2176,43.2,2.5,5.1,4,Balestrieri et al. (2020),V01-27-11,11.3,0.9768947260911747,45.0 37.7 49.4 67.1 40.9,2.7 2.3 3.0 4.0 2.5,True True True False True
169.28492,-72.63772,944,48.6,4.3,7.4,3,Balestrieri et al. (2020),V02-27-11,11.8,0.9919089080613479,46.0 57.0 42.9,2.8 3.4 2.6,True True True
169.14722,-72.64536,2217,88.2,44.2,62.5,2,Balestrieri et al. (2020),V06-27-11,320.3,1.0,132.4 178.0 44.0,7.9 10.7 2.6,True False True
169.28701,-72.42714,1897,56.5,6.3,8.9,2,Balestrieri et al. (2020),V08-27-11,7.2,0.9721049905586491,62.8 50.2,3.8 3.0,True True
168.25996,-72.36624,151,48.2,6.8,11.8,3,Balestrieri et al. (2020),V10-27-11,29.0,0.9999977787773735,40.1 42.8 61.7,2.4 2.6 3.7,True True True
167.24992,-71.87203,1565,66.6,30.2,42.8,2,Balestrieri et al. (2020),V04-30-11,216.3,1.0,96.9 36.4 98.3 76.1,5.8 2.2 5.9 4.6,True True False False
169.98917,-71.76505,1831,39.4,2.1,5.2,6,Balestrieri et al. (2020),V02-02-12,23.2,0.9992662392063009,41.5 40.8 36.7 35.6 48.1 33.6,2.5 2.4 2.2 2.1 2.9 2.0,True True True True True True
167.24992,-72.1857,80,53.9,6.5,13.0,4,Balestrieri et al. (2020),V06-02-12,58.0,0.9999999999923164,45.3 66.6 63.3 40.4 137.6,2.7 4.0 3.8 2.4 8.3,True True True True False
167.24992,-72.1857,80,28.8,2.3,5.0,5,Balestrieri et al. (2020),V07-02-12,11.0,0.948549571317992,36.4 30.1 28.7 25.3 23.3,3.5 4.3 3.0 4.9 2.3,True True True True True
