lon,lat,z,age,age_serr,include,source,sample
170.101364664766,-71.6525082583066,264,31.5,2.4,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,33.1,2.5,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,156.6,11.5,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,39.2,1.4,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,40.2,1.5,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,39.5,1.7,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,35.7,2.2,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,32.0,1.7,1,Syracuse U,P74804
170.101364664766,-71.6525082583066,264,45.8,2.3,1,Syracuse U,P74804
170.088764915084,-71.6485085122328,20,47.1,3.5,1,Syracuse U,P74814
170.088764915084,-71.6485085122328,20,35.4,1.6,1,Syracuse U,P74814
170.088764915084,-71.6485085122328,20,33.1,1.0,1,Syracuse U,P74814
170.088764915084,-71.6485085122328,20,40.5,1.4,1,Syracuse U,P74814
170.088764915084,-71.6485085122328,20,49.7,1.7,1,Syracuse U,P74814
168.982701593991,-71.7648357806463,1988,188.7,7.9,1,Syracuse U,P74852
169.537600087771,-71.9186057109085,3533,47.8,1.9,1,Syracuse U,P74853
169.537600087771,-71.9186057109085,3533,65.4,1.8,1,Syracuse U,P74853
169.537600087771,-71.9186057109085,3533,73.9,2.0,1,Syracuse U,P74853
169.537600087771,-71.9186057109085,3533,47.6,1.6,1,Syracuse U,P74853
169.537600087771,-71.9186057109085,3533,72.5,2.8,1,Syracuse U,P74853
169.537600087771,-71.9186057109085,3533,52.0,1.6,1,Syracuse U,P74853
169.630435942312,-71.8774476331916,2588,1685.6,89.2,1,Syracuse U,P74854
169.630435942312,-71.8774476331916,2588,59.2,1.2,1,Syracuse U,P74854
169.630435942312,-71.8774476331916,2588,92.6,2.3,1,Syracuse U,P74854
169.630435942312,-71.8774476331916,2588,96.8,12.0,1,Syracuse U,P74854
169.630435942312,-71.8774476331916,2588,44.6,0.7,1,Syracuse U,P74854
169.630435942312,-71.8774476331916,2588,41.5,0.8,1,Syracuse U,P74854
169.630435942312,-71.8774476331916,2588,45.8,1.1,1,Syracuse U,P74854
169.628285528196,-71.8628084284262,2161,61.7,6.4,1,Syracuse U,P74855
169.628285528196,-71.8628084284262,2161,47.3,1.3,1,Syracuse U,P74855
169.628285528196,-71.8628084284262,2161,43.0,1.5,1,Syracuse U,P74855
169.863807262312,-71.8259496705169,2312,48.7,4.4,1,Syracuse U,P74861
169.863807262312,-71.8259496705169,2312,44.6,4.1,1,Syracuse U,P74861
169.863807262312,-71.8259496705169,2312,91.1,8.3,1,Syracuse U,P74861
169.863807262312,-71.8259496705169,2312,51.3,9.0,1,Syracuse U,P74861
